ID,TermEnglish,TermVietnamese,Prefix,Root,Suffix,Description,Category,Rarity,Specialty,Structure
CARD_201,Full coverage crown,Mão toàn sứ/kim loại toàn diện,,Full,crown,Restoration covering all axial surfaces of the clinical crown. Vietnamese: Phục hình phủ toàn bộ bề mặt thân răng lâm sàng,Material,Common,Dentistry,Full (toàn) + coverage (phủ) + crown (mão)
CARD_202,Partial coverage crown,Mão bán phần,,Partial,crown,Restoration covering some but not all surfaces. Vietnamese: Phục hình che phủ một phần bề mặt thân răng,Material,Common,Dentistry,Partial (một phần) + coverage + crown
CARD_203,Porcelain veneer,Mặt dán sứ veneer,,Porcelain,veneer,Thin ceramic facing bonded to facial surface. Vietnamese: Tấm sứ mỏng dán bề mặt ngoài răng,Material,Common,Dentistry,Porcelain (sứ) + veneer (ốp phủ)
CARD_204,Inlay,Inlay (miếng trám trong múi),,In,lay,Indirect restoration within cusps of a tooth. Vietnamese: Phục hình gián tiếp nằm trong ranh múi răng,Material,Common,Dentistry,In (trong) + lay (đặt)
CARD_205,Onlay,Onlay (phủ múi),,On,lay,Indirect restoration covering one or more cusps. Vietnamese: Phục hình gián tiếp phủ một hay nhiều múi răng,Material,Common,Dentistry,On (trên) + lay (đặt)
CARD_206,Overlay,Overlay (phủ toàn mặt nhai),,Over,lay,Restoration covering entire occlusal surface and cusps. Vietnamese: Phục hình che phủ toàn bộ mặt nhai và các múi,Material,Common,Dentistry,Over (trên) + lay (đặt)
CARD_207,Endocrown,Endocrown,,Endo,crown,Monolithic restoration anchored in pulp chamber of endodontically treated tooth. Vietnamese: Phục hình đơn khối neo giữ trong buồng tuỷ răng đã điều trị nội nha,Material,Common,Dentistry,Endo (trong) + crown (mão)
CARD_208,Fiber post,Chốt sợi,,Fiber,post,Nonmetal post made of fiber-reinforced resin. Vietnamese: Chốt không kim loại bằng nhựa gia cường sợi,Material,Common,Dentistry,Fiber (sợi) + post (chốt)
CARD_209,Ferrule effect,Hiệu ứng ferrule,,Ferrule,effect,Bracing effect of a circumferential band of tooth structure. Vietnamese: Hiệu ứng vòng ôm thân răng giúp tăng bền phục hình,Material,Common,Dentistry,Ferrule (vòng kim loại) + effect (hiệu ứng)
CARD_210,Taper (axial wall taper),Độ côn thành trục,,Taper,,Convergence of opposing axial walls for path of insertion. Vietnamese: Độ hội tụ của các thành trục để tạo đường tháo lắp,Morphological,Common,Dentistry,Taper (côn)
CARD_211,Path of insertion,Đường tháo lắp,,Path,insertion,Direction along which a restoration is placed or removed. Vietnamese: Hướng đặt vào hoặc tháo phục hình,Morphological,Common,Dentistry,Path (đường) + insertion (đặt vào)
CARD_212,Occlusal reduction,Giảm mặt nhai,,Occlusal,reduction,Amount of occlusal tooth structure removed for clearance. Vietnamese: Lượng mô mặt nhai mài để tạo khoảng,Material,Common,Dentistry,Occlusal (nhai) + reduction (giảm)
CARD_213,Axial reduction,Giảm thành trục,,Axial,reduction,Amount of axial tooth structure removed. Vietnamese: Lượng mô thành trục mài bỏ,Material,Common,Dentistry,Axial (trục) + reduction (giảm)
CARD_214,Finish line,Đường hoàn tất,,Finish,line,Prepared margin design of tooth for restoration. Vietnamese: Đường bờ chuẩn bị của răng cho phục hình,Morphological,Common,Dentistry,Finish (hoàn tất) + line (đường)
CARD_215,Chamfer finish line,Đường hoàn tất chamfer,,Chamfer,finish line,Rounded concave margin form. Vietnamese: Dạng bờ lõm tròn kiểu chamfer,Morphological,Common,Dentistry,Chamfer (vát lõm) + finish line
CARD_216,Deep chamfer,Chamfer sâu,,Deep,chamfer,Wide chamfer providing bulk for ceramics. Vietnamese: Chamfer rộng tạo đủ bề dày cho sứ,Morphological,Common,Dentistry,Deep (sâu) + chamfer
CARD_217,Shoulder finish line,Đường hoàn tất shoulder,,Shoulder,finish line,Flat horizontal ledge margin. Vietnamese: Dạng bờ ngang phẳng kiểu vai,Morphological,Common,Dentistry,Shoulder (vai) + finish line
CARD_218,Shoulder with bevel,Shoulder có vát,,Shoulder,bevel,Shoulder margin modified by external bevel. Vietnamese: Bờ vai kèm vát ngoài,Morphological,Common,Dentistry,Shoulder + bevel (vát)
CARD_219,Knife-edge margin,Bờ lưỡi dao,,Knife,edge,"Very thin tapered margin design. Vietnamese: Thiết kế bờ rất mảnh, dần mỏng",Morphological,Common,Dentistry,Knife (dao) + edge (cạnh)
CARD_220,Provisional restoration,Phục hình tạm,,Provisional,restoration,Temporary restoration protecting prepared tooth. Vietnamese: Phục hình tạm thời bảo vệ răng đã mài,Material,Common,Dentistry,Provisional (tạm) + restoration
CARD_221,Temporary cement,Xi măng tạm,,Temporary,cement,Luting agent for provisional restorations. Vietnamese: Vật liệu gắn dành cho phục hình tạm,Material,Common,Dentistry,Temporary (tạm) + cement (xi măng)
CARD_222,Luting cement,Xi măng gắn,,Lute,cement,Cement used to attach restoration to tooth. Vietnamese: Vật liệu gắn phục hình lên răng,Material,Common,Dentistry,Lute (gắn) + -ing + cement
CARD_223,Resin cement,Xi măng nhựa dán,,Resin,cement,Resin-based luting material with adhesive properties. Vietnamese: Xi măng gốc nhựa có tính dán dính,Material,Common,Dentistry,Resin (nhựa) + cement
CARD_224,Self-adhesive resin cement,Xi măng nhựa tự dán,,Self,resin cement,Resin cement that bonds without separate etch/prime. Vietnamese: Xi măng nhựa tự bám không cần etch/prime riêng,Material,Common,Dentistry,Self (tự) + adhesive (dính) + resin cement
CARD_225,Adhesive resin cement,Xi măng nhựa dán theo hệ thống,,Adhesive,resin cement,Resin cement requiring separate adhesive protocol. Vietnamese: Xi măng nhựa cần quy trình dán riêng,Material,Common,Dentistry,Adhesive (dính) + resin cement
CARD_226,Dual-cure,Hai cơ chế trùng hợp,,Dual,cure,Polymerization by light and chemical mechanisms. Vietnamese: Trùng hợp bằng quang và hoá đồng thời,Material,Common,Dentistry,Dual (kép) + cure (trùng hợp)
CARD_227,Light-cure,Quang trùng hợp,,Light,cure,Polymerization activated by light. Vietnamese: Trùng hợp kích hoạt bởi ánh sáng,Material,Common,Dentistry,Light (ánh sáng) + cure
CARD_228,Self-cure,Tự trùng hợp,,Self,cure,Chemical polymerization without light. Vietnamese: Trùng hợp hoá học không cần ánh sáng,Material,Common,Dentistry,Self (tự) + cure
CARD_229,Die,Chốt mẫu (die),,Die,,Individual tooth replica on a working cast. Vietnamese: Mẫu răng đơn lẻ trên mẫu làm việc,Material,Common,Dentistry,Die (mẫu răng)
CARD_230,Working cast,Mẫu làm việc,,Work,cast,Positive replica used to fabricate restoration. Vietnamese: Mẫu dương dùng để chế tác phục hình,Material,Common,Dentistry,Work (làm) + cast (đổ mẫu)
CARD_231,Master impression,Lấy dấu cuối (chính),,Master,impression,Final impression capturing definitive details. Vietnamese: Lấy dấu cuối cùng ghi nhận chi tiết chuẩn,Material,Common,Dentistry,Master (chính) + impression (lấy dấu)
CARD_232,Addition silicone (PVS),Silicone cộng hợp (PVS),,Addition,silicone; PVS,Polyvinyl siloxane elastomeric impression material. Vietnamese: Vật liệu lấy dấu đàn hồi polyvinyl siloxane,Material,Common,Dentistry,Addition (cộng) + silicone; PVS
CARD_233,Polyether impression material,Polyether lấy dấu,,Poly,ether,Elastomer with high rigidity and accuracy. Vietnamese: Vật liệu đàn hồi có độ cứng và chính xác cao,Material,Common,Dentistry,Poly (đa) + ether
CARD_234,Custom tray,Khay lấy dấu cá nhân,,Custom,tray,Individually fabricated tray for accurate impression. Vietnamese: Khay chế riêng cho lấy dấu chính xác,Material,Common,Dentistry,Custom (cá nhân) + tray (khay)
CARD_235,Tray adhesive,Keo dán khay lấy dấu,,Tray,adhesive,Adhesive applied to impression tray for retention. Vietnamese: Keo bôi lên khay để giữ vật liệu lấy dấu,Material,Common,Dentistry,Tray (khay) + adhesive (dính)
CARD_236,Gingival retraction cord,Chỉ co nướu,,Gingiv,cord,Cord placed in sulcus to displace gingiva and control fluids. Vietnamese: Sợi chỉ đặt vào khe nướu để vén mô và kiểm soát dịch,Material,Common,Dentistry,Gingiv (nướu) + retraction (kéo) + cord (sợi)
CARD_237,Hemostatic agent,Tác nhân cầm máu,,Hemo,agent,Agent used to control bleeding. Vietnamese: Chất dùng để cầm máu,Material,Common,Dentistry,Hemo (máu) + static (ngừng) + agent
CARD_238,Aluminum chloride,Nhôm clorua,,Aluminum,chloride,Common astringent for hemostasis and retraction. Vietnamese: Chất se niêm mạc dùng cầm máu/co nướu,Material,Common,Dentistry,Aluminum + chloride
CARD_239,Ferric sulfate,Sắt(III) sulfat,,Ferric,sulfate,Astringent hemostatic solution. Vietnamese: Dung dịch se niêm cầm máu,Material,Common,Dentistry,Ferric (sắt III) + sulfate
CARD_240,Retraction paste,Paste co nướu,,Retract,paste,Chemomechanical paste for sulcular displacement. Vietnamese: Hỗn hợp hoá cơ học để vén khe nướu,Material,Common,Dentistry,Retract (kéo) + -ion + paste
