Thuật ngữ tiếng Anh,Thuật ngữ tiếng Việt,Tiền tố (Prefix),Từ nối (o),Gốc từ (Root),Hậu tố (Suffix)
Gastritis,Viêm dạ dày,-,-,Gastr (dạ dày),-itis (viêm)
Arthritis,Viêm khớp,-,-,Arthr (khớp),-itis (viêm)
Hepatitis,Viêm gan,-,-,Hepat (gan),-itis (viêm)
Adenoma,U tuyến,-,-,Aden (tuyến),-oma (u)
Arthralgia,Đau khớp,-,-,Arthr (khớp),-algia (đau)
Dermatitis,Viêm da,-,-,Dermat (da),-itis (viêm)
Gastrectomy,Cắt bỏ dạ dày,-,-,Gastr (dạ dày),-ectomy (cắt bỏ)
Otitis,Viêm tai,-,-,Ot (tai),-itis (viêm)
Nephritis,Viêm thận,-,-,Nephr (thận),-itis (viêm)
Angioma,U mạch máu,-,-,Angi (mạch máu),-oma (u)
Cardiology,Khoa tim mạch,-,o,Cardi (tim),-logy (học/khoa)
Neurology,Khoa thần kinh,-,o,Neur (thần kinh),-logy (học/khoa)
Gastroscope,Máy nội soi dạ dày,-,o,Gastr (dạ dày),-scope (dụng cụ soi)
Dermatology,Khoa da liễu,-,o,Dermat (da),-logy (học/khoa)
Radiology,Khoa chẩn đoán hình ảnh,-,o,Radi (tia X),-logy (học/khoa)
Pathology,Bệnh học,-,o,Path (bệnh),-logy (học/khoa)
Cardiogram,Điện tâm đồ,-,o,Cardi (tim),-gram (bản ghi)
Nephrology,Khoa thận học,-,o,Nephr (thận),-logy (học/khoa)
Hematology,Huyết học,-,o,Hemat (máu),-logy (học/khoa)
Biopsy,Sinh thiết,-,-,Bi (sống),-opsy (xem)
Tachycardia,Nhịp tim nhanh,Tachy- (nhanh),-,Cardi (tim),-ia (tình trạng)
Bradycardia,Nhịp tim chậm,Brady- (chậm),-,Cardi (tim),-ia (tình trạng)
Pericarditis,Viêm màng ngoài tim,Peri- (xung quanh),-,Cardi (tim),-itis (viêm)
Epigastric,Vùng thượng vị (trên dạ dày),Epi- (trên),-,Gastr (dạ dày),-ic (liên quan)
Hypodermic,Dưới da,Hypo- (dưới),-,Derm (da),-ic (liên quan)
Subhepatic,Dưới gan,Sub- (dưới),-,Hepat (gan),-ic (liên quan)
Endocarditis,Viêm nội tâm mạc,Endo- (bên trong),-,Cardi (tim),-itis (viêm)
Hyperglycemia,Đường huyết cao,Hyper- (cao),-,Glyc (đường) Em (máu),-ia (tình trạng)
Hypoglycemia,Đường huyết thấp,Hypo- (thấp),-,Glyc (đường) Em (máu),-ia (tình trạng)
Polyneuritis,Viêm đa dây thần kinh,Poly- (nhiều),-,Neur (thần kinh),-itis (viêm)
