STT,Tiếng Anh (English),Giải nghĩa tiếng Anh (English Definition),Tiếng Việt (Vietnamese),Giải nghĩa tiếng Việt (Vietnamese Definition),Phân tích thuật ngữ (Term Analysis),Hình minh họa trong tài liệu (Illustration in Source),Link hình tham khảo (Reference Image Link),Chương (Chapter),Chỉ mục/Trang (Index/Page),Phiên âm (IPA),Category,Type,Rarity
201,Full coverage crown,Restoration covering all axial surfaces of the clinical crown,Mão toàn sứ/kim loại toàn diện,Phục hình phủ toàn bộ bề mặt thân răng lâm sàng,Full (toàn) + coverage (phủ) + crown (mão),N/A,https://www.pinterest.com/search/pins/?q=Full%20coverage%20crown,Prosthodontics – Fixed,N/A,fʊl ˈkʌvərɪdʒ kraʊn,Material,Term,Common
202,Partial coverage crown,Restoration covering some but not all surfaces,Mão bán phần,Phục hình che phủ một phần bề mặt thân răng,Partial (một phần) + coverage + crown,N/A,https://www.pinterest.com/search/pins/?q=Partial%20coverage%20crown,Prosthodontics – Fixed,N/A,ˈpɑːrʃəl ˈkʌvərɪdʒ kraʊn,Material,Term,Common
203,Porcelain veneer,Thin ceramic facing bonded to facial surface,Mặt dán sứ veneer,Tấm sứ mỏng dán bề mặt ngoài răng,Porcelain (sứ) + veneer (ốp phủ),N/A,https://www.pinterest.com/search/pins/?q=Porcelain%20veneer,Prosthodontics – Fixed,N/A,ˈpɔːrsəlɪn vəˈnɪr,Material,Term,Common
204,Inlay,Indirect restoration within cusps of a tooth,Inlay (miếng trám trong múi),Phục hình gián tiếp nằm trong ranh múi răng,In (trong) + lay (đặt),N/A,https://www.pinterest.com/search/pins/?q=Inlay,Prosthodontics – Fixed,N/A,ˈɪnleɪ,Material,Term,Common
205,Onlay,Indirect restoration covering one or more cusps,Onlay (phủ múi),Phục hình gián tiếp phủ một hay nhiều múi răng,On (trên) + lay (đặt),N/A,https://www.pinterest.com/search/pins/?q=Onlay,Prosthodontics – Fixed,N/A,ˈɒnleɪ,Material,Term,Common
206,Overlay,Restoration covering entire occlusal surface and cusps,Overlay (phủ toàn mặt nhai),Phục hình che phủ toàn bộ mặt nhai và các múi,Over (trên) + lay (đặt),N/A,https://www.pinterest.com/search/pins/?q=Overlay,Prosthodontics – Fixed,N/A,ˈoʊvərleɪ,Material,Term,Common
207,Endocrown,Monolithic restoration anchored in pulp chamber of endodontically treated tooth,Endocrown,Phục hình đơn khối neo giữ trong buồng tuỷ răng đã điều trị nội nha,Endo (trong) + crown (mão),N/A,https://www.pinterest.com/search/pins/?q=Endocrown,Prosthodontics – Fixed,N/A,ˈɛndoʊkraʊn,Material,Term,Common
208,Fiber post,Nonmetal post made of fiber-reinforced resin,Chốt sợi,Chốt không kim loại bằng nhựa gia cường sợi,Fiber (sợi) + post (chốt),N/A,https://www.pinterest.com/search/pins/?q=Fiber%20post,Prosthodontics – Fixed,N/A,ˈfaɪbər poʊst,Material,Term,Common
209,Ferrule effect,Bracing effect of a circumferential band of tooth structure,Hiệu ứng ferrule,Hiệu ứng vòng ôm thân răng giúp tăng bền phục hình,Ferrule (vòng kim loại) + effect (hiệu ứng),N/A,https://www.pinterest.com/search/pins/?q=Ferrule%20effect,Prosthodontics – Fixed,N/A,ˈfɛr.juːl ɪˈfɛkt,Material,Term,Common
210,Taper (axial wall taper),Convergence of opposing axial walls for path of insertion,Độ côn thành trục,Độ hội tụ của các thành trục để tạo đường tháo lắp,Taper (côn),N/A,https://www.pinterest.com/search/pins/?q=Taper%20%28axial%20wall%20taper%29,Prosthodontics – Fixed,N/A,ˈteɪpər,Morphological,Term,Common
211,Path of insertion,Direction along which a restoration is placed or removed,Đường tháo lắp,Hướng đặt vào hoặc tháo phục hình,Path (đường) + insertion (đặt vào),N/A,https://www.pinterest.com/search/pins/?q=Path%20of%20insertion,Prosthodontics – Fixed,N/A,pæθ əv ɪnˈsɜːrʃən,Morphological,Term,Common
212,Occlusal reduction,Amount of occlusal tooth structure removed for clearance,Giảm mặt nhai,Lượng mô mặt nhai mài để tạo khoảng,Occlusal (nhai) + reduction (giảm),N/A,https://www.pinterest.com/search/pins/?q=Occlusal%20reduction,Prosthodontics – Fixed,N/A,əˈkluːzəl rɪˈdʌkʃən,Material,Term,Common
213,Axial reduction,Amount of axial tooth structure removed,Giảm thành trục,Lượng mô thành trục mài bỏ,Axial (trục) + reduction (giảm),N/A,https://www.pinterest.com/search/pins/?q=Axial%20reduction,Prosthodontics – Fixed,N/A,ˈæk.si.əl rɪˈdʌkʃən,Material,Term,Common
214,Finish line,Prepared margin design of tooth for restoration,Đường hoàn tất,Đường bờ chuẩn bị của răng cho phục hình,Finish (hoàn tất) + line (đường),N/A,https://www.pinterest.com/search/pins/?q=Finish%20line,Prosthodontics – Fixed,N/A,ˈfɪnɪʃ laɪn,Morphological,Term,Common
215,Chamfer finish line,Rounded concave margin form,Đường hoàn tất chamfer,Dạng bờ lõm tròn kiểu chamfer,Chamfer (vát lõm) + finish line,N/A,https://www.pinterest.com/search/pins/?q=Chamfer%20finish%20line,Prosthodontics – Fixed,N/A,ˈʃæm.fər ˈfɪnɪʃ laɪn,Morphological,Term,Common
216,Deep chamfer,Wide chamfer providing bulk for ceramics,Chamfer sâu,Chamfer rộng tạo đủ bề dày cho sứ,Deep (sâu) + chamfer,N/A,https://www.pinterest.com/search/pins/?q=Deep%20chamfer,Prosthodontics – Fixed,N/A,diːp ˈʃæm.fər,Morphological,Term,Common
